date,retailer,igraal_slug,picodi_rate,picodi_rate_type,picodi_url
2026-08-14,AliExpress,aliexpress,20.7,up_to_%,https://www.picodi.com/pl/aliexpress/offers
2026-08-14,Allegro,allegro,1.1,up_to_%,https://www.picodi.com/pl/allegro/offers
2026-08-14,Answear,answear,1.2,up_to_%,https://www.picodi.com/pl/answear-com/offers
2026-08-14,Decathlon,decathlon,1.4,up_to_%,https://www.picodi.com/pl/decathlon/offers
2026-08-14,Empik,empik,15.0,up_to_%,https://www.picodi.com/pl/empik/offers
2026-08-14,Lounge by Zalando,zalando-lounge,3.6,up_to_%,https://www.picodi.com/pl/zalando-lounge/offers
2026-08-14,MediaMarkt,mediamarkt,1.8,up_to_%,https://www.picodi.com/pl/mediamarkt/offers
2026-08-14,Temu,temu,20.7,up_to_%,https://www.picodi.com/pl/temu/offers
2026-08-14,SHEIN,shein,4.5,up_to_%,https://www.picodi.com/pl/shein/offers
2026-08-14,RTV Euro AGD,rtveuro,1.8,up_to_%,https://www.picodi.com/pl/rtveuroagd/offers
2026-08-14,Lidl,lidl,1.2,%,https://www.picodi.com/pl/lidl/offers
2026-08-14,Leroy Merlin,leroymerlin,1.3,%,https://www.picodi.com/pl/leroy-merlin/offers
2026-08-14,CCC,ccc,2.7,up_to_%,https://www.picodi.com/pl/ccc/offers
2026-08-14,Hebe,hebe,1.8,%,https://www.picodi.com/pl/hebe/offers
2026-08-14,OBI,obi,1.5,%,https://www.picodi.com/pl/obi/offers
2026-08-14,Adidas,adidas,2.4,up_to_%,https://www.picodi.com/pl/adidas-pl/offers
2026-08-14,Sephora,sephora,3.3,up_to_%,https://www.picodi.com/pl/sephora/offers
2026-08-14,Douglas,douglas,3.6,up_to_%,https://www.picodi.com/pl/douglas/offers
2026-08-14,home&you,home-you,1.2,up_to_%,https://www.picodi.com/pl/home-you/offers
2026-08-14,Abra,abra,1.5,%,https://www.picodi.com/pl/abra/offers
2026-08-14,Acer,acer,2.1,%,https://www.picodi.com/pl/acer/offers
2026-08-14,Aclari,aclari,,not_found,
2026-08-14,Aelia,aelia,2.0,%,https://www.picodi.com/pl/aelia/offers
2026-08-14,Agoda,agoda,1.8,%,https://www.picodi.com/pl/agoda/offers
2026-08-14,Airalo,airalo,3.5,up_to_%,https://www.picodi.com/pl/airalo/offers
2026-08-14,AirHelp,airhelp,4.5,%,https://www.picodi.com/pl/air-help/offers
2026-08-14,ALAB Laboratoria,alab-laboratoria,20.0,%,https://www.picodi.com/pl/alablaboratoria/offers
2026-08-14,Alibaba,alibaba.com,2.5,up_to_%,https://www.picodi.com/pl/alibaba/offers
2026-08-14,Alpine Pro,alpinepro,2.4,%,https://www.picodi.com/pl/alpinepro/offers
