date,retailer,igraal_slug,picodi_rate,picodi_rate_type,picodi_url
2026-06-22,AliExpress,aliexpress,20.7,up_to_%,https://www.picodi.com/pl/aliexpress/offers
2026-06-22,Allegro,allegro,1.1,up_to_%,https://www.picodi.com/pl/allegro/offers
2026-06-22,Answear,answear,1.2,up_to_%,https://www.picodi.com/pl/answear-com/offers
2026-06-22,Decathlon,decathlon,1.4,up_to_%,https://www.picodi.com/pl/decathlon/offers
2026-06-22,Empik,empik,7.5,up_to_%,https://www.picodi.com/pl/empik/offers
2026-06-22,Lounge by Zalando,zalando-lounge,3.6,up_to_%,https://www.picodi.com/pl/zalando-lounge/offers
2026-06-22,MediaMarkt,mediamarkt,1.8,up_to_%,https://www.picodi.com/pl/mediamarkt/offers
2026-06-22,Temu,temu,20.7,up_to_%,https://www.picodi.com/pl/temu/offers
2026-06-22,SHEIN,shein,4.5,up_to_%,https://www.picodi.com/pl/shein/offers
2026-06-22,RTV Euro AGD,rtveuro,1.8,up_to_%,https://www.picodi.com/pl/rtveuroagd/offers
2026-06-22,Lidl,lidl,0.5,%,https://www.picodi.com/pl/lidl/offers
2026-06-22,Leroy Merlin,leroymerlin,1.3,%,https://www.picodi.com/pl/leroy-merlin/offers
2026-06-22,CCC,ccc,2.0,up_to_%,https://www.picodi.com/pl/ccc/offers
2026-06-22,Hebe,hebe,1.8,%,https://www.picodi.com/pl/hebe/offers
2026-06-22,OBI,obi,1.5,%,https://www.picodi.com/pl/obi/offers
2026-06-22,Adidas,adidas,1.8,up_to_%,https://www.picodi.com/pl/adidas-pl/offers
2026-06-22,Sephora,sephora,3.3,up_to_%,https://www.picodi.com/pl/sephora/offers
2026-06-22,Douglas,douglas,3.0,up_to_%,https://www.picodi.com/pl/douglas/offers
2026-06-22,home&you,home-you,1.2,up_to_%,https://www.picodi.com/pl/home-you/offers
2026-06-22,Abra,abra,1.5,%,https://www.picodi.com/pl/abra/offers
2026-06-22,Acer,acer,2.1,%,https://www.picodi.com/pl/acer/offers
2026-06-22,Aelia,aelia,2.0,%,https://www.picodi.com/pl/aelia/offers
2026-06-22,Airalo,airalo,3.5,up_to_%,https://www.picodi.com/pl/airalo/offers
2026-06-22,AirHelp,airhelp,4.5,%,https://www.picodi.com/pl/air-help/offers
